nigga	('522169157518114818', 0.8)	('522131366603812865', 0.33)	('522189823042678784', 0.28)	
mom	('522099026934513664', 0.8)	('522127727147909121', 0.4)	('522177655529934848', 0.4)	
app	('522112535513034753', 0.8)	('522112529611644928', 0.6)	('522175130965782528', 0.13)	
yolo	('522217008071737344', 0.58)	('522218477701320704', 0.45)	('522115811302187008', 0.41)	
fuck	('522225225111724032', 0.44)	('521812626763161600', 0.4)	('521841081546440705', 0.4)	
bro	('522078003871092736', 0.8)	('522077953086464000', 0.76)	('522139485786877952', 0.61)	
burger	('521820064295952384', 1.0)	('521820194638139392', 0.43)	('521820130209431552', 0.41)	
shit	('522187887673376768', 0.58)	('522188524603600896', 0.5)	('522188030359388161', 0.45)	
21st	('522322350822682624', 0.8)	('522201520251891713', 0.6)	('522323234436677632', 0.51)	
yay	('522196773889376256', 0.6)	('522161769914302464', 0.43)	('522217741584187392', 0.31)	
3rd	('522317685057523714', 0.61)	('522186718783369216', 0.5)	('522317903358468096', 0.41)	
cuz	('521823639159975936', 0.48)	('521823855522762752', 0.46)	('521824797244682240', 0.43)	
lol	('522125545556148224', 0.8)	('522278227381743616', 0.54)	('522184053236432896', 0.5)	
online	('522214116379738112', 0.42)	('522238829026357252', 0.42)	('522259857190047744', 0.41)	
ebola	('522127727147909121', 0.4)	('522321199943389184', 0.4)	('522177655529934848', 0.4)	
goin	('522223607448338432', 0.7)	('522202822709092352', 0.64)	('522076375034114048', 0.58)	
selfie	('521963898040483840', 0.41)	('521979157614710784', 0.4)	('521847561854787584', 0.4)	
disney	('522212633056145408', 0.6)	('521823024870588416', 0.42)	('522264009098395648', 0.36)	
ipad	('522044554124722177', 0.42)	('522199696954363904', 0.4)	('522047357404594176', 0.4)	
usa	('522227418720120832', 0.6)	('522231384266391553', 0.6)	('522053753848201216', 0.2)	
okay	('522278205584318464', 0.7)	('522298177958203392', 0.43)	('522225290584809473', 0.4)	
haha	('522096233901731840', 0.48)	('522113643971096577', 0.4)	('522107248437239808', 0.37)	
paid	('522154613131464706', 0.6)	('521827729491365888', 0.47)	('522151342773911552', 0.36)	
dat	('521955613254111232', 0.8)	('522048802354913280', 0.68)	('521894331041726464', 0.2)	
mama	('522136681160273920', 0.51)	('521905060746637313', 0.5)	('522324912325664768', 0.12)	
wtf	('521834476243279872', 0.6)	('522318318695223296', 0.42)	('521824474589843456', 0.41)	
badass	('522200157660536832', 1.0)	('522200199541047297', 0.75)	('522256358783987712', 0.25)	
vs.	('522120655706542080', 0.8)	('522155945259196416', 0.43)	('522197416335147008', 0.41)	
women	('522044959340650497', 0.62)	('521972273780363264', 0.43)	('521990587877453825', 0.42)	
info	('522011573335105537', 0.7)	('522012436631916545', 0.51)	('521998727217942528', 0.38)	
kno	('522209101351501824', 0.5)	('522209481120546816', 0.45)	('522209237448261632', 0.44)	
lmao	('522169157518114818', 0.48)	('522246448352886784', 0.4)	('522060693953343488', 0.27)	
turnt	('522067434300137472', 0.9)	('522065080230633473', 0.53)	('522274109410258944', 0.15)	
hahaha	('521958357268041729', 0.56)	('521954075056041984', 0.55)	('521958423265415169', 0.54)	
fuckin	('521910384056614913', 0.79)	('521910484174254080', 0.48)	('522085283546664960', 0.45)	
